wargear_id|line|name|Range|type|S|AP|D|abilities|
000001544|1|Scorpion cannon|36"|Heavy 15|5|-2|1||
000001549|1|Twin autocannon|48"|Heavy 4|7|-1|2||
000001553|1|Infernus cannon|18"|Heavy 2D6|6|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001554|1|Magna-melta cannon|36"|Heavy 2D3|8|-4|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001555|1|Standard|36"|Heavy D3|7|-4|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001555|2|Supercharge|36"|Heavy D3|8|-4|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 is made for an attack with this weapon profile, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000001556|1|Scorpius multi-launcher|48"|Heavy 3D3|6|-2|2|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer.|
000001559|1|Quad lascannon|48"|Heavy 4|9|-3|D6||
000001560|1|Laser destroyer|36"|Heavy 3|10|-4|D3+3||
000001566|1|Grav-flux bombard|24"|Heavy 2D3|8|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack made with this weapon is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 3.|
000001569|1|Frag missile|36"|Heavy 2D6|4|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001569|2|Krak missile|36"|Heavy 2|8|-3|D6||
000001571|1|Dreadhammer siege cannon|24"|Heavy 2D6|10|-4|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001572|1|HE shells|72"|Heavy 2D6|8|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001572|2|AE shells|72"|Heavy 2|14|-4|6||
000001574|1|Skyreaper battery|48"|Heavy 8|7|-2|2|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. Each time an attack made with this weapon is allocated to an <span class="kwb">AIRCRAFT</span> model, that attack has a Damage characteristic of 4.|
000001575|1|Siege melta array|24"|Heavy 6|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001579|1|Leviathan siege claw|Melee|Melee|x2|-3|3|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000001580|1|Leviathan siege drill|Melee|Melee|x2|-4|2D3|Each time an attack made with this weapon is allocated to a <span class="kwb">VEHICLE</span> model, that attack has a Damage characteristic of 6.|
000001581|1|Blade struts|Melee|Melee|x2|-4|3||
000001585|1|Vengeance launcher|48"|Heavy 2D6|6|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001589|1|Twin avenger bolt cannon|36"|Heavy 10|6|-2|2||
000001591|1|Thunderhawk heavy cannon|48"|Heavy 2D6|8|-2|D3+2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001592|1|Turbo-laser destructor|96"|Heavy 3|16|-5|6||
000001595|1|Demnos bolter|24"|Rapid Fire 2|4|-1|1||
000001597|1|Voidcutter|8"|Assault 1|8|-4|3|Each time an attack is made with this weapon against a <span class="kwb">VEHICLE</span> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001598|1|Soulburner pistol|12"|Pistol 2|*|*|*|Each time a successful <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> is made for an attack with this weapon, the target suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> and the attack sequence ends. Each time an unmodified hit roll of 1 is made for an attack with this weapon profile, the bearer suffers 1 mortal wound after shooting with this weapon.|
000001599|1|Warpfire lance|16"|Heavy 2|6|-3|D6||
000001600|1|Claw of Demnos|Melee|Melee|x2|-3|3||
000001601|1|Skulltaker axe|Melee|Melee|+1|-2|1|Each time the bearer fights, it makes 2 additional attacks with this weapon.|
000001602|1|Tainted force blade|Melee|Melee|+1|-2|2|Each time an attack is made with this weapon, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001603|1|Black Blade of Venom|Melee|Melee|User|-2|3|Each time an attack is made with this weapon against a unit (excluding <span class="kwb">VEHICLE</span> units), add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001604|1|Infernal axe|Melee|Melee|+1|-3|2||
000001605|1|Bloodlash|12"|Assault 2D6|7|-3|2||
000001607|1|Contagion spray|12"|Assault 3D3|5|-2|2|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001608|1|Grasping tongue|8"|Assault D3|5|0|1|Each time an attack is made with this weapon, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001609|1|Horrific vomit|12"|Assault 2D6|6|-2|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001610|1|The Executioner’s Axe (melee)|Melee|Melee|+2|-3|3|Each time an attack is made with this profile, on a <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6, that attack has a Damage characteristic of 6.|
000001611|1|Slaughtering blade|Melee|Melee|User|-4|3|Each time an attack is made with this weapon against a unit (excluding <span class="kwb">VEHICLE</span> units), add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001612|1|The Souleater Blade|Melee|Melee|+2|-3|3|Each time an attack is made with this weapon, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 4+ inflicts 3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> on the target and the attack sequence ends.|
000001613|1|Slicing claws|Melee|Melee|User|-4|3|Each time the bearer fights, it makes 4 additional attacks with this weapon.|
000001614|1|Warpfire talons|Melee|Melee|User|-3|D3|Each time an attack is made with this weapon profile, make 2 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1. Each time an attack is made with this weapon, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to any normal damage.|
000001617|1|Fist of Decay|Melee|Melee|User|-3|3||
000001618|1|Gaping maw|Melee|Melee|User|-3|3||
000001620|1|Yawning maw|Melee|Melee|5|-1|2|Each time an attack is made with this weapon, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 scores 1 additional hit.|
000001621|1|Pox Rider plaguesword|Melee|Melee|4|0|1|Each time the bearer fights, it can make 2 additional attacks with this weapon and no more than 2 attacks can be made with this weapon. Each time an attack is made with this weapon, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001622|1|Tusked maw|Melee|Melee|x2|-3|3||
000001623|1|Jagged claws|Melee|Melee|User|-2|2|Each time the bearer fights, it can make 2 additional attacks with this weapon.|
000001625|1|Churning fangs and claws|Melee|Melee|User|-2|2||
000001626|1|Blade of Decay|Melee|Melee|+2|-4|D3+3|Each time an attack is made with this weapon, you can re-roll that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001627|1|Nurglings|Melee|Melee|2|0|1|Each time the bearer fights, it makes 2D6 additional attacks with this weapon.|
000001630|1|Teeth of Terra|Melee|Melee|+1|-2|2|Each time the bearer fights, it makes 3 additional attacks with this weapon.|
000001632|1|Primarch’s Wrath|24"|Rapid Fire 2|5|-2|2||
000001633|1|The Burning Blade|Melee|Melee|+3|-5|2||
000001636|1|The Axe of Medusa|Melee|Melee|+3|-3|3||
000001639|1|Fist of Vengeance|Melee|Melee|x2|-3|3||
000001642|1|The Spartean|18"|Pistol 2|4|-3|2|Each time you select a target for this weapon, you can ignore the <a href="/wh40k9ed/the-rules/core-rules/#Look-out-Sir">Look Out, Sir</a> rule.|
000001643|1|Master-crafted stalker bolt rifle|36"|Heavy 1|4|-2|3||
000001644|1|Absolvor bolt pistol|18"|Pistol 1|5|-1|2||
000001645|1|Auto bolt rifle|24"|Assault 3|4|0|1||
000001646|1|Stalker bolt rifle|36"|Heavy 1|4|-2|2||
000001647|1|Reductor pistol|3"|Pistol 1|4|-4|2||
000001648|1|Bolt carbine|24"|Assault 2|4|0|1||
000001649|1|Heavy bolt pistol|18"|Pistol 1|4|-1|1||
000001651|1|Auto boltstorm gauntlet (shooting)|18"|Assault 3|4|0|1||
000001652|1|Auto boltstorm gauntlet (melee)|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack's <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001653|1|Flamestorm gauntlet (melee)|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001654|1|Flamestorm gauntlet (shooting)|12"|Assault D6|4|0|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001655|1|Fragstorm grenade launcher|18"|Assault D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001656|1|Heavy onslaught gatling cannon|30"|Heavy 12|6|-1|1||
000001657|1|Icarus rocket pod|24"|Heavy D3|7|-1|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001658|1|Standard|36"|Heavy D6|8|-4|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001658|2|Supercharge|36"|Heavy D6|9|-4|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 is made for an attack with this weapon profile, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000001659|1|Onslaught gatling cannon|24"|Heavy 8|5|-1|1||
000001660|1|Redemptor fist|Melee|Melee|x2|-3|D3+3||
000001661|1|Standard|18"|Assault D3|7|-3|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001661|2|Supercharge|18"|Assault D3|8|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001662|1|Standard|24"|Assault 3|6|-4|1||
000001662|2|Supercharge|24"|Assault 3|7|-4|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001663|1|Standard|36"|Heavy 1|8|-4|2||
000001663|2|Supercharge|36"|Heavy 1|9|-4|3|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001664|1|Icarus ironhail heavy stubber|36"|Heavy 4|4|-1|1|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001665|1|Ironhail heavy stubber|36"|Heavy 4|4|-1|1||
000001666|1|Krakstorm grenade launcher|18"|Assault 1|6|-1|D3||
000001669|1|Hellforged sword|Melee|Melee|+1|-3|3||
000001685|1|The Black Mace|Melee|Melee|+2|-2|3|Each time an attack is made with this weapon, excess damage it inflicts is not lost. Instead, keep allocating excess damage to another model in the target unit until either all the excess damage has been allocated or the target unit is destroyed.|
000001691|1|Blade of the Hydra|Melee|Melee|+1|-2|1|Each time the bearer fights, it makes D3+3 additional attacks with this weapon (if there are 6 or more enemy models within 3" of the bearer when it is selected to fight, it makes 6 additional attacks with this weapon instead).|
000001694|1|Fury of Deimos|24"|Rapid Fire 3|5|-2|2||
000001695|1|Destroyer of Crys’yllix|Melee|Melee|x2|-3|4|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001697|1|Soul Glaive|Melee|Melee|+2|-3|2|Each time an attack is made with this weapon, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> and you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001700|1|Bile spurt|12"|Assault D3|6|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. <a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. This weapon can be used to make attacks against an enemy unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of the bearer’s unit.|
000001701|1|Blight grenades|6"|Grenade D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. <a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001703|1|Heavy blight launcher|36"|Assault 6|6|-3|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001704|1|Hyper blight grenade|6"|Grenade D6|4|-1|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. <a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001705|1|Injector pistol|3"|Pistol 1|4|-1|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon against an <span class="kwb">INFANTRY</span>, <span class="kwb">CAVALRY</span> or <span class="kwb">BEASTS</span> unit, if the attack successfully wounds the target, it inflicts D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> in addition to any normal damage.|
000001706|1|The Lantern|12"|Pistol 1|8|-3|3|Each time an attack is made with this weapon, if a hit is scored, draw a straight line between the closest point of this model’s base (or hull) and that of the closest model in the target unit. Make one <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> against the target unit, and each other unit this line passes over.|
000001707|1|Phosphex bombs|6"|Grenade 2D6|5|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001708|1|Plague belcher|12"|Assault D6|4|0|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001709|1|Plagueburst mortar|48"|Heavy D6|8|-2|2|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. <a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. This weapon can target units that are not visible to the bearer.|
000001710|1|Plague spewer|12"|Heavy D6|5|-1|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001711|1|Plaguespitter|12"|Assault D6|6|-1|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001712|1|Plague sprayer|12"|Assault D6|7|-3|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001713|1|Plaguespurt gauntlet|12"|Pistol D6|3|0|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001714|1|Rothail volley gun|24"|Rapid Fire 3|6|-1|1||
000001715|1|Attendants’ claws and teeth|Melee|Melee|2|0|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time the bearer fights, it makes D6 additional attacks with this weapon.|
000001716|1|Balesword|Melee|Melee|+1|-3|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001717|1|Bubotic axe|Melee|Melee|+2|-2|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001718|1|Cursed plague bell|Melee|Melee|User|-1|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001720|1|Flail of corruption|Melee|Melee|+1|-2|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, make 2 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001721|1|Fleshmower|Melee|Melee|+1|-2|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, make 3 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001722|1|Gnashing maw|Melee|Melee|User|-2|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001723|1|Great plague cleaver|Melee|Melee|x2|-3|D6|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001724|1|Mace of contagion|Melee|Melee|+2|-1|3|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001725|1|Cleave|Melee|Melee|+3|-3|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon profile, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001725|2|Scythe|Melee|Melee|+1|-1|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon profile, make 2 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001726|1|Cleave|Melee|Melee|+3|-3|3|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon profile, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001726|2|Scythe|Melee|Melee|+1|-1|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon profile, make 2 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001727|1|Plague knife|Melee|Melee|User|-1|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001728|1|Plague probe|Melee|Melee|User|-2|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001730|1|Plaguereaper|Melee|Melee|x2|-3|3|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001733|1|Eviscerating blow|Melee|Melee|x2|-4|D3+3|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001733|2|Reaping scythe|Melee|Melee|User|-2|1|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time an attack is made with this weapon profile, make 3 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001734|1|Blight launcher|24"|Assault 2|6|-2|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001735|1|Entropy cannon|36"|Heavy 1|8|-4|D3+3|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>|
000001736|1|Heavy slugger|36"|Heavy 4|5|-1|1||
000001737|1|Plaguebringer|Melee|Melee|+2|-3|2|<a href="/wh40k9ed/factions/death-guard/#Plague-Weapon">Plague Weapon</a>. Each time a model is destroyed as a result of an attack made with this weapon, that model counts as two destroyed models for the purposes of <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale tests</a> this turn.|
000001743|1|Twin Icarus autocannon|48"|Heavy 4|7|-1|2|Each time an attack is made with this weapon profile against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack's <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001755|1|Pater Cog-tooth|Melee|Melee|+3|-2|3||
000001756|1|Anzion’s Pseudogenetor|Melee|Melee|+2|-1|1|Each time the bearer fights, it makes 3D3 additional attacks with this weapon.|
000001758|1|The Uncreator Gauntlet|Melee|Melee|x2|-3|3|Each time the bearer fights, it makes 1 additional attack with this weapon. Each time an attack made with this weapon hits a <span class="kwb">VEHICLE</span> unit, that attack inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> in addition to any normal damage.|
000001759|1|Phosphoenix|18"|Assault 3|5|-3|2|Each time an attack is made with this weapon, the target does not receive the benefits of <a href="/wh40k9ed/the-rules/core-rules/#Dense-Cover">Dense Cover</a> against that attack. Each time an attack is made with this weapon against an enemy unit, if a hit is scored, until the end of the phase, that enemy unit is exposed and the bearer gains the following ability:<br><br>‘<span class="redfont">Target Exposure (Aura)</span><b>:</b> While a friendly <span class="tooltip00550" data-tooltip-content="#tooltip_content00550" data-tooltip-anchor="#tooltip_content00550"><span class="kwb2">&lt;<span class="kwb3">F</span>ORGE</span> <span class="kwb">WORLD&gt;</span> <span class="kwb">CORE</span></span> unit is within 6" of this model, each time a model in that unit makes a ranged attack against an exposed unit, the target does not receive the benefits of <a href="/wh40k9ed/the-rules/core-rules/#Dense-Cover">Dense Cover</a> against that attack.’|
000001764|1|The Red Axe|Melee|Melee|+2|-5|2|Each time the bearer fights, it makes 3 additional attacks with this weapon.|
000001766|1|The Adamantine Arm|Melee|Melee|x3|-3|4|Each time the bearer fights, no more than one attack can be made with this weapon. Each time an attack is made with this weapon, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001768|1|Weapon XCIX|24"|Heavy 3|7|-2|2|Each time an attack is made with this weapon, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6, that attack inflicts 2 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> in addition to any normal damage.|
000001770|1|Stomping feet|Melee|Melee|+2|0|1|Each time the bearer fights, it makes 3 additional attacks with this weapon and no more than 3 attacks can be made with this weapon.|
000001771|1|Grot-guided bomm|72"|Heavy 2D6|8|-3|2|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer. The bearer can only shoot with this weapon once per battle. Each time an attack is made with this weapon, the bearer has a Ballistic Skill characteristic of 2+ for that attack.|
000001774|1|Blast burna|48"|Heavy 3D6|5|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001774|2|Boom shell|60"|Heavy 2D6|8|-2|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001774|3|Scrap kanister|18"|Heavy 3D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001774|4|Tankhamma shell|60"|Heavy 1|10|-3|6|Each time an attack is made with this weapon against a <span class="kwb">VEHICLE</span> unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001776|1|Knarloc beak and talons|Melee|Melee|+2|-2|2|Each time the bearer fights, it makes 2 additional attacks with this weapon and no more than 2 attacks can be made with this weapon.|
000001777|1|Kroot bolt thrower|36"|Assault 6|6|-1|1||
000001778|1|Twin Kroot gun|48"|Rapid Fire 2|7|-1|D3||
000001779|1|Great Knarloc beak and talons|Melee|Melee|User|-4|3||
000001780|1|Firestorm scatter laser|60"|Heavy 12|6|0|1|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 2 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001781|1|Autogun|24"|Rapid Fire 1|3|0|1||
000001782|1|Omnissian axe|Melee|Melee|+1|-2|2||
000001783|1|Servo-arm|Melee|Melee|x2|-2|3|Each servo-arm can only be used to make one attack each time this model fights. When a model attacks with this weapon, you must subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001784|1|Ripper gun (shooting)|12"|Assault 3|5|0|1||
000001785|1|Ripper gun (melee)|Melee|Melee|User|-1|1||
000001786|1|The Emperor’s Benediction|12"|Pistol 3|4|-1|2|This weapon can target a <a href="/wh40k9ed/the-rules/core-rules/#Characters">CHARACTER</a> even if it is not the closest enemy unit, unless the bearer is within 1" of an enemy unit.|
000001791|1|Blade of Conquest|Melee|Melee|+2|-4|D3||
000001793|1|Mamorph Tuskblade|Melee|Melee|+2|-3|2||
000001794|1|Pietrov’s Mk 45|12"|Pistol 2|4|-1|2|Friendly <span class="tooltip00562" data-tooltip-content="#tooltip_content00562" data-tooltip-anchor="#tooltip_content00562"><span class="kwb">VALHALLAN</span></span> units within 6" of the bearer can never lose more than one model as the result of any single failed <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a>.|
000001797|1|Claw of the Desert Tigers|Melee|Melee|+1|-3|2|Each time the bearer fights, it can make 2 additional attacks with this weapon.|
000001803|1|Kurnous’ Bow|18"|Pistol 3|5|-|-|<a href="/wh40k9ed/factions/aeldari/#Shuriken-Weapons">Shuriken</a>. Each time an attack is made with this weapon, if that attack successfully wounds the target, it inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target and the attack sequence ends.|
000001805|1|Shard of Anaris|Melee|Melee|+1|-3|1|Each time the bearer fights, it makes D3+3 additional attacks with this weapon.|
