faction_id|name|type|cp_cost|legend|source_id|description|id|
DRU|THE GREAT ENEMY|Drukhari – Battle Tactic Stratagem|1|The Chaos God Slaanesh is reviled by the Aeldari, who hate and despise his followers with a ferocious loathing.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a <span class="kwb">DRUKHARI</span> unit from your army is selected to fight. Until the end of the phase, each time a model in that unit makes a melee attack against a <span class="kwb">SLAANESH</span> unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> and you can re-roll <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000002783003|
DRU|THE TORTURER’S CRAFT|Drukhari – Battle Tactic Stratagem|1/2|Over long millennia in Commorragh’s undercity, the Haemonculus Covens have perfected the craft of carving flesh.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a> when <span class="tooltip00224" data-tooltip-content="#tooltip_content00224" data-tooltip-anchor="#tooltip_content00224"><span class="kwb">URIEN</span> <span class="kwb">RAKARTH</span></span> or a <span class="tooltip01471" data-tooltip-content="#tooltip_content01471" data-tooltip-anchor="#tooltip_content01471"><span class="kwb2">&lt;<span class="kwb3">H</span>AEMONCULUS</span> <span class="kwb">COVEN&gt;</span></span> unit from your army is selected to fight. Until the end of the phase, each time a model in that unit makes an attack, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>. If this Stratagem is used when a <span class="kwb">CHARACTER</span> or <span class="tooltip01472" data-tooltip-content="#tooltip_content01472" data-tooltip-anchor="#tooltip_content01472"><span class="kwb">WRACKS</span></span> unit that contains 10 or less models is selected to fight, it costs 1CP; otherwise, it costs 2CP.|000002783004|
DRU|LIGHTNING-FAST REACTIONS|Drukhari – Battle Tactic Stratagem|1|The hyper-fast reflexes of the Drukhari allow them to duck and weave to avoid all but the swiftest enemy strikes.||Use this Stratagem in your opponents <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a <span class="tooltip00226" data-tooltip-content="#tooltip_content00226" data-tooltip-anchor="#tooltip_content00226"><span class="kwb">DRUKHARI</span> <span class="kwb">INFANTRY</span></span>, <span class="tooltip01473" data-tooltip-content="#tooltip_content01473" data-tooltip-anchor="#tooltip_content01473"><span class="kwb">DRUKHARI</span> <span class="kwb">VEHICLE</span></span> or <span class="tooltip01474" data-tooltip-content="#tooltip_content01474" data-tooltip-anchor="#tooltip_content01474"><span class="kwb">DRUKHARI</span> <span class="kwb">BIKER</span></span> unit from your army (excluding <span class="tooltip00224" data-tooltip-content="#tooltip_content00224" data-tooltip-anchor="#tooltip_content00224"><span class="kwb">URIEN</span> <span class="kwb">RAKARTH</span></span> or a <span class="tooltip01471" data-tooltip-content="#tooltip_content01471" data-tooltip-anchor="#tooltip_content01471"><span class="kwb2">&lt;<span class="kwb3">H</span>AEMONCULUS</span> <span class="kwb">COVEN&gt;</span></span> unit) is selected as the target of an attack. Until the end of the phase, each time an attack is made against that unit, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|000002783005|
DRU|HUNT FROM THE SHADOWS|Drukhari – Battle Tactic Stratagem|1|The denizens of Commorragh use the shadows to their advantage.||Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a <span class="kwb">DRUKHARI</span> unit from your army that has the benefits of <a href="/wh40k9ed/the-rules/core-rules/#Light-Cover">Light Cover</a> is selected as the target of a ranged attack. Until the end of that phase, add an additional 1 to that unit’s <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throws</a> (excluding <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saving throws</a>).|000002783006|
DRU|PRAY THEY DON’T TAKE YOU ALIVE|Drukhari – Epic Deed Stratagem|1|Few armies are able to maintain their mettle when the sounds of their leader’s tortured screams fill the air.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an enemy <a href="/wh40k9ed/the-rules/core-rules/#The-Warlord"><span class="kwb">WARLORD</span></a> unit is destroyed by a melee attack made by a <span class="kwb">DRUKHARI</span> unit from your army. Until the end of the battle, each time a <a href="/wh40k9ed/the-rules/core-rules/#Combat-Attrition-Tests">Combat Attrition test</a> is taken for an enemy unit, subtract 1 from that Combat Attrition test.|000002783019|
DRU|ALLIANCE OF AGONY|Drukhari – Requisition Stratagem|1|Even the most bloodthirsty Drukhari will veil their enmity to work together against a shared enemy for the same gruesome purpose.||Use this Stratagem before the battle, when you are mustering your army, if your <a href="/wh40k9ed/the-rules/core-rules/#The-Warlord"><span class="kwb">WARLORD</span></a> is a <a href="/wh40k9ed/factions/drukhari/#Realspace-Raid"><span class="kwb">REALSPACE</span> <span class="kwb">RAIDER</span></a> <span class="tooltip00829" data-tooltip-content="#tooltip_content00829" data-tooltip-anchor="#tooltip_content00829"><span class="kwb">ARCHON</span></span>. Select one <span class="tooltip00566" data-tooltip-content="#tooltip_content00566" data-tooltip-anchor="#tooltip_content00566"><span class="kwb">SUCCUBUS</span></span> model from your army and one <span class="tooltip00565" data-tooltip-content="#tooltip_content00565" data-tooltip-anchor="#tooltip_content00565"><span class="kwb">HAEMONCULUS</span></span> model from your army (excluding named characters) and determine one Warlord Trait for each of these models (this must be a Warlord Trait it can have); those models are only regarded as your <span class="kwb">WARLORD</span> for the purposes of that Warlord Trait. Each Warlord Trait in your army must be unique (if randomly generated, re-roll duplicate results), and you cannot use this Stratagem to give a model two Warlord Traits. You can only use this Stratagem once.|000002783007|
DRU|TOLERATED AMBITION|Drukhari – Requisition Stratagem|1|Confident leaders might delegate some duties to a monitored underling, one easily disposed of if need be...||Use this Stratagem before the battle, when you are mustering your army, if your <a href="/wh40k9ed/the-rules/core-rules/#The-Warlord"><span class="kwb">WARLORD</span></a> has the <span class="kwb">DRUKHARI</span> keyword. Select one <span class="tooltip00498" data-tooltip-content="#tooltip_content00498" data-tooltip-anchor="#tooltip_content00498"><span class="kwb">DRUKHARI</span> <span class="kwb">CHARACTER</span></span> model from your army (excluding named characters) and determine one Warlord Trait for it (this must be a Warlord Trait it can have); that model it is only regarded as your Warlord for the purposes of that Warlord Trait. Each Warlord Trait in your army must be unique (if randomly generated, re-roll duplicate results), and you cannot use this Stratagem to give a model two Warlord Traits. You can only use this Stratagem once, unless you are playing a Strike Force battle (in which case, you can use this Stratagem twice) or an Onslaught battle (in which case, you can use this Stratagem three times).|000002783008|
DRU|PRIZES FROM THE DARK CITY|Drukhari – Requisition Stratagem|1|A warlord who wants their high status to be known will equip their raiding parties with the most extravagant weaponry.||Use this Stratagem before the battle, when you are mustering your army, if your <a href="/wh40k9ed/the-rules/core-rules/#The-Warlord"><span class="kwb">WARLORD</span></a> has the <span class="kwb">DRUKHARI</span> keyword. Select one <span class="tooltip00498" data-tooltip-content="#tooltip_content00498" data-tooltip-anchor="#tooltip_content00498"><span class="kwb">DRUKHARI</span> <span class="kwb">CHARACTER</span></span> model from your army and give them one <a href="/wh40k9ed/factions/drukhari/#Artefacts-of-Cruelty">Artefact of Cruelty</a> (this must be a Relic they can have). Each Relic in your army must be unique, and you cannot use this Stratagem to give a model two Relics. You can only use this Stratagem once, unless you are playing a Strike Force battle (in which case, you can use this Stratagem twice) or an Onslaught battle (in which case, you can use this Stratagem three times).|000002783009|
DRU|WEBWAY PORTAL|Drukhari – Strategic Ploy Stratagem|1/3|By hurling rune-graven orbs into the air, the Drukhari can tear a route into the webway through which more of their kin can pour.||Use this Stratagem before the battle when declaring reserves and transports (if you are playing a mission without this step, use this Stratagem during deployment instead). If you spend 1CP, you can set up one <span class="tooltip00226" data-tooltip-content="#tooltip_content00226" data-tooltip-anchor="#tooltip_content00226"><span class="kwb">DRUKHARI</span> <span class="kwb">INFANTRY</span></span>, <span class="tooltip01474" data-tooltip-content="#tooltip_content01474" data-tooltip-anchor="#tooltip_content01474"><span class="kwb">BIKER</span></span> or <span class="tooltip00835" data-tooltip-content="#tooltip_content00835" data-tooltip-anchor="#tooltip_content00835"><span class="kwb">BEAST</span></span> unit from your army in the webway instead of placing it on the battlefield. If you spend 3<a href="/wh40k9ed/the-rules/core-rules/#Command-Points">CPs</a>, you can place two <span class="kwb">DRUKHARI</span> <span class="kwb">INFANTRY</span>, <span class="kwb">BIKER</span> or <span class="kwb">BEAST</span> units in the webway instead.<br><br>In the <a href="/wh40k9ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements step</a> of one of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a>, you can set up any units in the webway anywhere on the battlefield that is more than 9" away from any enemy models. You can only use this Stratagem once.|000002783010|
DRU|PAIN SYPHON|Drukhari – Strategic Ploy Stratagem|1|Cronos parasite engines absorb and magnify the agonies of nearby foes, driving their fellow raiders into a frenzy.||Use this Stratagem when a <span class="kwb">DRUKHARI</span> unit from your army that is within 6" of a friendly <span class="tooltip01475" data-tooltip-content="#tooltip_content01475" data-tooltip-anchor="#tooltip_content01475"><span class="kwb">CRONOS</span></span> unit destroys an enemy unit with a melee or ranged attack. Until the end of the battle, that <span class="kwb">DRUKHARI</span> unit always treats each battle round as if it is battle round 5 for the purposes of the <a href="/wh40k9ed/factions/drukhari/#Power-From-Pain">Power From Pain</a> ability.|000002783011|
DRU|EVISCERATING FLY-BY|Drukhari – Strategic Ploy Stratagem|1/2|The airborne combatants of a Wych Cult have no need to slow down in order to carry out their slaughter.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, when you select a <span class="tooltip01476" data-tooltip-content="#tooltip_content01476" data-tooltip-anchor="#tooltip_content01476"><span class="kwb2">&lt;<span class="kwb3">W</span>YCH</span> <span class="kwb">CULT&gt;</span></span> unit that can <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a> to make a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> or <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance</a>. After this unit has moved, select one enemy unit this unit moved across and roll one D6 for each model in this unit, adding 1 to the result if the enemy unit is an <span class="kwb">INFANTRY</span> unit: for each result of 5+, that enemy unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. If the selected <span class="kwb2">&lt;<span class="kwb3">W</span>YCH</span> <span class="kwb">CULT&gt;</span> unit contains 5 or fewer models, this Stratagem costs 1CP; otherwise, it costs 2CP.|000002783012|
DRU|NEVER STATIONARY|Drukhari – Strategic Ploy Stratagem|2|The Drukhari are masters at using hit-and-run tactics, engaging a target with a flurry of shots before quickly manoeuvring into cover or out of sight.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> after making attacks with a <span class="kwb">DRUKHARI</span> unit (excluding <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> units) from your army. That unit can immediately make a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> of up to 7". Until the end of the turn, that unit is not eligible to <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">declare a charge</a>.|000002783013|
DRU|PREY ON THE WEAK|Drukhari – Strategic Ploy Stratagem|1|The scent of a foe in pain draws Drukhari to it like hungry predators to an injured beast, their senses sharpening at its tang.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a <span class="tooltip00497" data-tooltip-content="#tooltip_content00497" data-tooltip-anchor="#tooltip_content00497"><span class="kwb">DRUKHARI</span> <span class="kwb">CORE</span></span> unit from your army is selected to shoot or fight. Until the end of the phase, each time a model in this unit makes an attack:<br><ul><li>If that attack targets a unit that was below its <a href="/wh40k9ed/the-rules/core-rules/#Starting-Strength-Half-strength-and-Destroyed-Units">starting strength</a> when this unit was selected to shoot or fight, re-roll a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1.</li><li>If that attack targets a unit that was below <a href="/wh40k9ed/the-rules/core-rules/#Starting-Strength-Half-strength-and-Destroyed-Units">Half-strength</a> when this unit was selected to shoot or fight, you can re-roll the hit roll.</li></ul>|000002783014|
DRU|SCREAMING JETS|Drukhari – Strategic Ploy Stratagem|1|Just as terrifying as a sudden emergence from the webway is the meteoric descent of a Drukhari raiding craft behind enemy lines.||Use this Stratagem before the battle when declaring reserves and transports (if you are playing a mission without this step, use this Stratagem during deployment instead). You can set up one <span class="tooltip01473" data-tooltip-content="#tooltip_content01473" data-tooltip-anchor="#tooltip_content01473"><span class="kwb">DRUKHARI</span> <span class="kwb">VEHICLE</span></span> unit from your army in the skies instead of placing it on the battlefield.<br><br>In the <a href="/wh40k9ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements step</a> of one of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a>, you can set up this unit anywhere on the battlefield that is more than 9" away from any enemy models. You can only use this Stratagem once.|000002783015|
DRU|DEADLY RIVALS|Drukhari – Strategic Ploy Stratagem|2|Hellions and Reavers frequently spar for prestige and dominance, both in the arenas and high above the bloody streets of the Dark City.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>. Select one <span class="tooltip01477" data-tooltip-content="#tooltip_content01477" data-tooltip-anchor="#tooltip_content01477"><span class="kwb">REAVERS</span></span> unit from your army and one <span class="tooltip01478" data-tooltip-content="#tooltip_content01478" data-tooltip-anchor="#tooltip_content01478"><span class="kwb">HELLIONS</span></span> unit from your army that are within 12" of and visible to each other. Until the end of the turn:<br><ul><li>Add 1" to the Movement characteristics of models in these units.</li><li>Each time a model in these units makes an attack with a melee weapon, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.</li></ul>|000002783016|
DRU|SWIFT OUTFLANKING|Drukhari – Strategic Ploy Stratagem|1|Transport barques seek to ferry their murderous cargo on new attack angles, or else move aloft to provide encircling fire support.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one <span class="tooltip01479" data-tooltip-content="#tooltip_content01479" data-tooltip-anchor="#tooltip_content01479"><span class="kwb">DRUKHARI</span> <span class="kwb">TRANSPORT</span></span> unit from your army that is wholly within 9" of any battlefield edge. Remove that unit from the battlefield. That unit is placed into <a href="/wh40k9ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a>.|000002783017|
DRU|MURDEROUS DESCENT|Drukhari – Strategic Ploy Stratagem|1|As their transports descend, Drukhari are swift to plunge into their prey, blades bared.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements step</a>, after a <span class="tooltip01480" data-tooltip-content="#tooltip_content01480" data-tooltip-anchor="#tooltip_content01480"><span class="kwb">TRANSPORT</span></span> unit from your army is set up on the battlefield. Any units embarked upon that <span class="kwb">TRANSPORT</span> unit can <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a> after it is set up, but when they do so, they must be set up more than 9" away from any enemy units.|000002783018|
DRU|ENHANCED AETHERSAILS|Drukhari – Wargear Stratagem|1|Drukhari raiding craft bear many enhancements that allow for lightning-fast attacks and swift withdrawals.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, when a <span class="tooltip01481" data-tooltip-content="#tooltip_content01481" data-tooltip-anchor="#tooltip_content01481"><span class="kwb">RAIDER</span></span> or <span class="tooltip01482" data-tooltip-content="#tooltip_content01482" data-tooltip-anchor="#tooltip_content01482"><span class="kwb">RAVAGER</span></span> unit from your army is selected to Advance. Do not make an <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a>. Instead, until the end of the phase, add 8" to the Move characteristic of this model.|000002783020|
DRU|CRUCIBLE OF MALEDICTION|Drukhari – Wargear Stratagem|2|When opened, the souls of tortured psykers spew outward, driving insane any nearby whose minds are attuned to the warp.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>. Select one <span class="tooltip00565" data-tooltip-content="#tooltip_content00565" data-tooltip-anchor="#tooltip_content00565"><span class="kwb">HAEMONCULUS</span></span> unit from your army and roll one D6 for each enemy <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"><span class="kwb">PSYKER</span></a> unit within 12" of it; for each roll of 4+, that <span class="kwb">PSYKER</span> unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. You can only use this Stratagem once.|000002783021|
DRU|HAYWIRE GRENADE|Drukhari – Wargear Stratagem|1|Haywire grenades send out a powerful electromagnetic pulse to debilitate and damage enemy vehicles.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a <span class="tooltip01483" data-tooltip-content="#tooltip_content01483" data-tooltip-anchor="#tooltip_content01483"><span class="kwb">DRUKHARI</span> <span class="kwb">HAYWIRE</span> <span class="kwb">GRENADE</span></span> unit from your army is selected to shoot. Select one model in that unit; that model can only make one attack this phase, and must target an enemy <span class="kwb">VEHICLE</span> unit within 6" of it, but if a hit is scored, that <span class="kwb">VEHICLE</span> unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> and the attack sequence ends.|000002783022|
DRU|HYPERSTIMM BACKLASH|Drukhari – Wargear Stratagem|2|Heedless of the brutal effects of overdosing, members of a Wych Cult may take a massive dose of combat drugs to further enhance their combat prowess.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>. Select one <span class="tooltip01476" data-tooltip-content="#tooltip_content01476" data-tooltip-anchor="#tooltip_content01476"><span class="kwb2">&lt;<span class="kwb3">W</span>YCH</span> <span class="kwb">CULT&gt;</span></span> unit with the <a href="/wh40k9ed/factions/drukhari/#Combat-Drugs">Combat Drugs</a> ability from your army. Until your next Command phase, each effect of the Combat Drugs ability on that unit is doubled (e.g. if the unit is affected by Painbringer, add 2 to the Toughness characteristic of models affected by that combat drug instead of 1). A model with the <a href="/wh40k9ed/factions/drukhari/#Cult-of-Strife">Phial Bouquet</a> Relic cannot be selected for this Stratagem.|000002783023|
DRU|SHOCK PROW|Drukhari – Wargear Stratagem|1|Many Drukhari outfit their vehicles with energised rams which, when activated, emit directional waves of force, capable of carving through infantry formations and even shattering the hulls of tanks.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, when a <span class="tooltip01484" data-tooltip-content="#tooltip_content01484" data-tooltip-anchor="#tooltip_content01484"><span class="kwb">DRUKHARI</span> <span class="kwb">SHOCK</span> <span class="kwb">PROW</span></span> unit from your army finishes a <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge move</a>. Select one enemy unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of that <span class="kwb">SHOCK</span> <span class="kwb">PROW</span> unit:<br><ul><li>If the selected enemy unit is a <span class="kwb">VEHICLE</span> unit, roll one D6: on a 2+, that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.</li><li>If the selected enemy unit is not a <span class="kwb">VEHICLE</span> unit, roll one D6 for each model in that enemy unit that is within Engagement Range of the <span class="kwb">SHOCK</span> <span class="kwb">PROW</span> unit. For each dice result that equals or exceeds that enemy unit’s Toughness characteristic, it suffers 1 mortal wound.</li></ul>|000002783024|
DRU|POTENT METALLOTOXINS|Drukhari – Wargear Stratagem|2|A few rare poisons contain virulent acidic compounds, ferrogangrenous venoms or even inorganic nanophages, which swiftly break down the most formidable of armour plating. When showered with these potent shards, enemy crews find their vehicles dissolving around them, or even swelling with infection and crushing them inside.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when you select a <span class="kwb">DRUKHARI</span> unit from your army to shoot or fight. Until the end of the phase, each time an attack is made with a <a href="/wh40k9ed/factions/drukhari/#Poisoned-Weapon">poisoned weapon</a> (excluding Relics) by that unit, that ability does not exclude <span class="kwb">VEHICLE</span> units (though it does still exclude <span class="kwb">TITANIC</span> units).|000002783025|
DRU|AGENTS OF VECT|Kabal of the Black Heart – Strategic Ploy Stratagem|0|The Supreme Overlord of Commorragh develops countermeasures for every conceivable course of events.||Use this Stratagem after your opponent uses a Stratagem (excluding <a href="/wh40k9ed/the-rules/core-rules/#Stratagems">Command Re-roll</a>). Until the end of the battle, the CP cost your opponent must pay to use that Stratagem again is increased by 1. This Stratagem can only be used once.|000002773002|
DRU|MASTERS OF THE SHADOWED SKY|Kabal of the Flayed Skull – Battle Tactic Stratagem|1|The Kabalites of the Flayed Skull view the skies as their rightful territory, and will scour it of those enemies who dare to trespass.||Use this Stratagem when you select a <span class="tooltip01485" data-tooltip-content="#tooltip_content01485" data-tooltip-anchor="#tooltip_content01485"><span class="kwb">KABAL</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">FLAYED</span> <span class="kwb">SKULL</span></span> unit from your army to shoot with. Until the end of the phase, each time that unit makes an attack that targets a unit that can <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a>, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. If the target is an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 2 to that attack’s hit roll instead.|000002774002|
DRU|FAILURE IS NOT AN OPTION|Kabal of the Obsidian Rose – Strategic Ploy Stratagem|1|Even when faced with insurmountable odds, the Kabalites of the Obsidian Rose know that anything less than the perfect execution of their deadly art is utterly unacceptable.||Use this Stratagem after taking <a href="/wh40k9ed/the-rules/core-rules/#Combat-Attrition-Tests">Combat Attrition tests</a> for a <span class="tooltip01486" data-tooltip-content="#tooltip_content01486" data-tooltip-anchor="#tooltip_content01486"><span class="kwb">KABAL</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">OBSIDIAN</span> <span class="kwb">ROSE</span></span> unit from your army, but before any models <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">flee</a>. You can shoot with each model that would flee. If the unit is within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy units, each model that would flee can instead make one melee attack. If any enemy models are destroyed by these attacks, no models flee from this unit. Treat the <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a> as having been passed.|000002776002|
DRU|INSIDIOUS MISDIRECTION|Kabal of the Poisoned Tongue – Strategic Ploy Stratagem|2|The Kabalites of the Poisoned Tongue excel at wrong-footing their enemies before an attack is launched.||Use this Stratagem at the start of the first battle round. Select up to three <span class="tooltip01487" data-tooltip-content="#tooltip_content01487" data-tooltip-anchor="#tooltip_content01487"><span class="kwb">KABAL</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">POISONED</span> <span class="kwb">TONGUE</span></span> units from your army and redeploy them. If the mission uses the <a href="/wh40k9ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a> rules, any of those units can be placed into Strategic Reserves without having to spend any additional <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">CPs</a>, regardless of how many units are already in Strategic Reserves. If both players have abilities that redeploy units, <a href="/wh40k9ed/the-rules/core-rules/#Roll-offs">roll off</a>; the winner chooses who redeploys their units first.|000002775002|
DRU|SINS WRIT LARGE|Prophets of Flesh – Battle Tactic Stratagem|1/2|The Prophets of Flesh have innumerable servants, each of which is extensively marked with sigils of ownership by their masters. Only by committing the most impressive acts of sadism under the eyes of their betters can one of these twisted creatures slowly excise these marks.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Select one <span class="tooltip01488" data-tooltip-content="#tooltip_content01488" data-tooltip-anchor="#tooltip_content01488"><span class="kwb">PROPHETS</span> <span class="kwb2">OF</span> <span class="kwb">FLESH</span> <span class="kwb">INFANTRY</span></span> unit from your army that is within 6" of a friendly <span class="tooltip01489" data-tooltip-content="#tooltip_content01489" data-tooltip-anchor="#tooltip_content01489"><span class="kwb">PROPHETS</span> <span class="kwb2">OF</span> <span class="kwb">FLESH</span> <span class="kwb">HAEMONCULUS</span></span> unit. Until the end of the phase, each time an attack is made by this <span class="kwb">PROPHETS</span> <span class="kwb2">OF</span> <span class="kwb">FLESH</span> <span class="kwb">INFANTRY</span> unit you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. If the selected unit is a <span class="tooltip00227" data-tooltip-content="#tooltip_content00227" data-tooltip-anchor="#tooltip_content00227"><span class="kwb">GROTESQUES</span></span> unit, this Stratagem costs 2CP; otherwise, it costs 1CP.|000002780002|
DRU|AN ESOTERIC KILL, DELIVERED FROM AFAR|The Dark Creed – Battle Tactic Stratagem|2|The Coven of the Dark Creed have a well-earned reputation for novel methods of assassination.||Use this Stratagem when you select a <span class="tooltip01490" data-tooltip-content="#tooltip_content01490" data-tooltip-anchor="#tooltip_content01490"><span class="kwb">DARK</span> <span class="kwb">CREED</span> <span class="kwb">CORE</span></span> or <span class="tooltip01491" data-tooltip-content="#tooltip_content01491" data-tooltip-anchor="#tooltip_content01491"><span class="kwb">DARK</span> <span class="kwb">CREED</span> <span class="kwb">CHARACTER</span></span> unit from your army to shoot with. Until the end of the phase, each time you select a target for an attack made by this unit, you can ignore the <a href="/wh40k9ed/the-rules/core-rules/#Look-out-Sir">Look Out, Sir</a> rule.|000002781002|
GC|XENOFORM BIONICS|Bladed Cog – Requisition Stratagem|1/2|The torturous cyborg enhancements of these warriors are freakishly alien in both conception and application, and all the more effective for it.||Use this Stratagem before the battle, when you are mustering your army. Select one <span class="tooltip01492" data-tooltip-content="#tooltip_content01492" data-tooltip-anchor="#tooltip_content01492"><span class="kwb">BLADED</span> <span class="kwb">COG</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip01493" data-tooltip-content="#tooltip_content01493" data-tooltip-anchor="#tooltip_content01493"><span class="kwb">BLADED</span> <span class="kwb">COG</span> <span class="kwb">BIKER</span></span> unit from your army. Models in that unit have a 5+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>. If that unit has a <a href="/wh40k9ed/the-rules/core-rules/#Power-Ratings">Power Rating</a> of 6 or less, this Stratagem costs 1CP; otherwise, it costs 2CP.|000006297002|
GC|A PLAN GENERATIONS IN THE MAKING|Cult of the Four-armed Emperor – Strategic Ploy Stratagem|0|No other military force spends as long laying thorough and meticulous preparations for the battles to come as does the Cult of the Four-armed Emperor. Their plans to counter the foe are works of dark genius.||Use this Stratagem after your opponent uses a Stratagem (excluding <a href="/wh40k9ed/the-rules/core-rules/#Stratagems">Command Re-roll</a>). Until the end of the battle, the CP cost your opponent must pay to use that Stratagem again is increased by 1. You can only use this Stratagem once.|000006291002|
