roll|name|faction_id|faction_name|legend|type|description|
3|NULL ZONE|SM|Space Marines|The psyker unleashes the full might of his mind to cast down his opponents defences, both technological and mystical, rendering them vulnerable to the retribution of the Adeptus Astartes.|Librarius Discipline|<b>Blessing (Aura):</b> <i>Null Zone</i> has a warp charge value of 7. If manifested, then:<br><ul><li>Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, while a unit is within 6” of this <span class="kwb">PSYKER</span>, each time an attack is made against that unit, <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saving throws</a> cannot be made against that attack.</li><li>Until the start of your next Psychic phase, while an enemy <span class="kwb">PSYKER</span> unit is within 6" of this <span class="kwb">PSYKER</span>, halve the total of <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic tests</a> taken for that unit.</li></ul>|
4|PSYCHIC SCOURGE|SM|Space Marines|The psyker pits his superhuman willpower against that of his enemies in a battle of mental fortitude, seeking to destroy their minds in a burst of psychic fury.|Librarius Discipline|<b>Witchfire:</b> <i>Psychic Scourge</i> has a warp charge value of 6. If manifested, select one enemy unit within 18" of and visible to this <span class="kwb">PSYKER</span>. Then, roll one D6 and add this <span class="kwb">PSYKER</span>’s Leadership characteristic to the result. Your opponent then rolls one D6 and adds that unit’s Leadership characteristic to the result. If your total is higher than your opponents, the selected unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>; if it is equal to your opponents total, the selected unit suffers 1 mortal wound; if it is less than your opponent’s total, nothing happens.|
5|FURY OF THE ANCIENTS|SM|Space Marines|Calling upon the myths of his Chapters home world, the psyker sends forth a terrifying monstrosity wrought from psychic energy.|Librarius Discipline|<b>Witchfire:</b> <i>Fury of the Ancients</i> has a warp charge value of 6. If manifested, select one enemy model that is within 18" of and visible to this <span class="kwb">PSYKER</span>. Draw a line between any part this <span class="kwb">PSYKER</span>’s base and any part of the selected model’s base (or hull); the selected models unit, and every other enemy unit that this line passes over or through, suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
6|PSYCHIC FORTRESS|SM|Space Marines|Drawing on boundless reserves of inner strength, the psyker constructs a powerful field of shimmering psychic energy around himself as well as any nearby battle brothers, protecting them from harm.|Librarius Discipline|<b>Blessing (Aura):</b> <i>Psychic Fortress</i> has a warp charge value of 6. If manifested, then until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, while a friendly <span class="kwb2">&lt;<span class="kwb3">C</span>HAPTER&gt;</span> unit is within 6" of this <span class="kwb">PSYKER</span>, models in that unit have a 5+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.|
1|TWILIGHT PATHWAYS|HAR|Harlequins|Eerie half-lit tunnels blink into existence, opening new paths of manoeuvre and attack.|Phantasmancy Discipline|Twilight Pathways has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a friendly HARLEQUINS unit within 3" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> and visible to it. That unit can immediately move as if it were its <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. You cannot use Twilight Pathways on a unit more than once in each <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>.|
2|FOG OF DREAMS|HAR|Harlequins|The Shadowseer sends forth her consciousness like a creeping mist, baffling the senses of the enemy.|Phantasmancy Discipline|Fog of Dreams has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select an enemy unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> and visible to it. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, your opponent must subtract 1 from <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> for that unit that target <span class="tooltip01509" data-tooltip-content="#tooltip_content01509" data-tooltip-anchor="#tooltip_content01509"><span class="kwb">HARLEQUINS</span> <span class="kwb">INFANTRY</span></span> units.|
3|MIRROR OF MINDS|HAR|Harlequins|A maddening clash of wills consumes the victim’s mind as reality falls away.|Phantasmancy Discipline|Mirror of Minds has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select an enemy unit within 24" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Then, both players roll a D6. If the Harlequin player’s roll is equal to or higher than their opponent’s, then the target unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. Repeat this process until the target is destroyed, or the enemy player rolls a result that is higher than the Harlequin player’s roll.|
4|VEIL OF TEARS|HAR|Harlequins|Sketching a gesture in the air, the Shadowseer snatches the image of the Harlequins from the minds of their foes, hiding them from sight.|Phantasmancy Discipline|Veil of Tears has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a friendly <span class="tooltip01509" data-tooltip-content="#tooltip_content01509" data-tooltip-anchor="#tooltip_content01509"><span class="kwb">HARLEQUINS</span> <span class="kwb">INFANTRY</span></span> unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, subtract 1 from <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> for attacks made against that unit.|
5|SHARDS OF LIGHT|HAR|Harlequins|Blades of polychrome energy dazzle the foe, inflicting horrific and disorientating psychosomatic wounds.|Phantasmancy Discipline|Shards of Light has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select an enemy unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> and visible to it. That unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> and must subtract 1 from its Leadership characteristic until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>.|
6|WEBWAY DANCE|HAR|Harlequins|The veils between realspace and the webway grow thin, allowing the Harlequins to jink away from danger with quicksilver speed, only to reappear unharmed moments later.|Phantasmancy Discipline|Webway Dance has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, then until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, roll a D6 whenever a friendly HARLEQUINS unit within 6" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> loses a wound; on a 6 that wound is not lost.|
1|LIVING LIGHTNING|SM|Space Marines|Sentient electricity crackles amid the brooding skies above as the Rune Priest calls forth the elements to smite his foes. At the psykers command, lightning arcs into the ranks of the enemy, leaving a trail of blackened corpses in its wake.|Tempestas Discipline|<b>Witchfire</b>: <i>Living Lightning</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, the closest enemy unit within 18" of and visible to this <span class="kwb">PSYKER</span> suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. Then roll one D6: on a 2-4, the closest other enemy unit within 6" of and visible to that unit suffers 1 mortal wound; on a 5+, it suffers D3 mortal wounds.|
2|MURDEROUS HURRICANE|SM|Space Marines|The Rune Priest bellows an ancient curse, and within moments his foes are all but consumed in a hurricane of freezing shards, a thousand blades of psychically formed ice plunging into their flesh.|Tempestas Discipline|<b>Malediction</b>: <i>Murderous Hurricane</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>:<br><ul><li>If that unit is not wholly on or within a <a href="/wh40k9ed/the-rules/core-rules/#Terrain-Features-1">terrain feature</a>, that unit cannot fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>.</li><li>In the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, that unit is not eligible to fight until after all eligible <span class="kwb">SPACE</span> <span class="kwb">WOLVES</span> units from your army have done so.</li></ul>|
3|TEMPEST’S WRATH|SM|Space Marines|The Rune Priest brings the rage of the storm to a roaring crescendo, frost-fingered wind spirits whipping at his enemies, tearing at their eyes and snatching weapons from their hands.|Tempestas Discipline|<b>Malediction</b>: <i>Tempest’s Wrath</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 24" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, each time a model in that unit makes an attack, subtract 1 from that attack's <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
4|INSTINCTS AWOKEN|SM|Space Marines|Maintaining the balance between the controlled aggression of his brothers and the roaring beast at their hearts, the Rune Priest awakens the savage spirit within them.|Tempestas Discipline|<b>Blessing</b>: <i>Instincts Awoken</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="kwb">SPACE</span> <span class="kwb">WOLVES</span> unit within 18" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, each time a model in that unit makes an attack, the <a href="/wh40k9ed/factions/space-marines/#Combat-Doctrines">Assault Doctrine</a> is considered to be active for that attack instead of the currently active doctrine. If the Assault Doctrine is already active for your army, then on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6 improve the Armour Penetration characteristic of that attack by 1. This is cumulative with the bonus from the Assault doctrine.|
5|STORM CALLER|SM|Space Marines|The Rune Priest chants an ancient rite that builds into a terrifying howl. Roaring winds and furious blizzards rage about him in a vortex of ice and snow that obscures him from sight.|Tempestas Discipline|<b>Blessing (Aura)</b>: <i>Storm Caller</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, while their unit is within 6" of this <span class="kwb">PSYKER</span>, friendly <span class="kwb">SPACE</span> <span class="kwb">WOLVES</span> models receive the benefits of <a href="/wh40k9ed/the-rules/core-rules/#Light-Cover">light cover</a>.|
6|JAWS OF THE WORLD WOLF|SM|Space Marines|The Rune Priest implores the spirit of the world upon which he hunts to open its rock-fanged maw, and a chasm cracks open under the feet of his chosen enemy, sending them tumbling to their death below.|Tempestas Discipline|<b>Witchfire</b>: <i>Jaws of the World Wolf</i> has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of and visible to this <span class="kwb">PSYKER</span>. Roll one D6 for each model in that unit, adding 1 to the result if the result of the <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic test</a> was 9 or more. For each roll of a 6+, that unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
1|Infernal Gaze|CSM|Chaos Space Marines|Unholy power streams from the psyker’s eyes, charring and melting everything caught in its path.|Dark Hereticus Discipline|Infernal Gaze has a warp charge value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a visible enemy unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> and roll 3 dice. The target suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> for each roll of 4+.|
2|Death Hex|CSM|Chaos Space Marines|The Sorcerer places a dire hex upon his enemies. Wards and energised shields flicker and fail, leaving the foe exposed.|Dark Hereticus Discipline|Death Hex has a warp charge value of 8. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a visible enemy unit within 12" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, that unit cannot take <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saves</a>.|
3|Gift of Chaos|CSM|Chaos Space Marines|As the power of the warp surges through the psyker’s victim, bones snap and flesh rips as a new form takes shape.|Dark Hereticus Discipline|Gift of Chaos has a warp charge of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select an enemy unit that is within 6" of the psyker and visible to him and roll a D6. If the result is greater than the target’s Toughness, it suffers D3+3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. If a <span class="kwb">CHARACTER</span> is destroyed by this power, you can add a <a href="/wh40k9ed/factions/chaos-space-marines/Chaos-Spawn">Chaos Spawn</a> to your army within 6" of the character and not within Engagement Range of any enemy units before they are removed as a casualty.|
4|Prescience|CSM|Chaos Space Marines|By focusing his warp-sight the psyker can guide the aim of his allies, bringing a swift and merciless death to their foes.|Dark Hereticus Discipline|Prescience has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a <a href="/wh40k9ed/factions/chaos-space-marines/#LEGION-"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span></a> unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. You can add 1 to all <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> made for that unit until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>.|
5|Diabolic Strength|CSM|Chaos Space Marines|The unholy energies of Chaos course through the recipient, swelling his frame with the strength to tear a tank in two.|Dark Hereticus Discipline|Diabolic Strength has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a <a href="/wh40k9ed/factions/chaos-space-marines/#LEGION-"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span></a> model within 12" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, add 2 to that model’s Strength characteristic and 1 to its Attacks characteristic.|
6|Warptime|CSM|Chaos Space Marines|The power of the immaterium bursts from the psyker, warping time and heightening the speed of his allies.|Dark Hereticus Discipline|Warptime has a warp charge value of 6. If manifested, pick a <a href="/wh40k9ed/factions/chaos-space-marines/#LEGION-"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span></a> unit (excluding <span class="tooltip01789" data-tooltip-content="#tooltip_content01789" data-tooltip-anchor="#tooltip_content01789"><span class="kwb">AIRCRAFT</span></span>) within 3" of the psyker. That unit can immediately move as if it were its <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. You cannot use <i>Warptime</i> on a unit more than once per <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>.|
|C’TAN SHARD OF THE DECEIVER - COSMIC INSANITY|NEC|Necrons|The C'tan Shard of the Deceiver uses it powers to flood his victims' minds with vast and terrible cosmic truths, overwhelming even the most ironclad minds and driving them instantly and irrevocably insane.|Powers of the C’tan|Select one enemy unit within 12" of and visible to this <span class="tooltip00785" data-tooltip-content="#tooltip_content00785" data-tooltip-anchor="#tooltip_content00785"><span class="kwb">C'TAN</span> <span class="kwb">SHARD</span></span>. Roll one D6 and add this <span class="kwb">C'TAN</span> <span class="kwb">SHARD</span>'s Leadership characteristic to the result. Your opponent then rolls one D6 and adds the Leadership characteristic of the selected unit to the result. That enemy unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> for each point by which your total exceeds your opponent's.|
|C’TAN SHARD OF THE NIGHTBRINGER - GAZE OF DEATH|NEC|Necrons|Dark energies leap from the Shard's eyes and its distended maw, reducing foes to blackened bones crawling with frost.|Powers of the C’tan|Select one enemy unit within 9" of and visible to this <span class="kwb">C'TAN</span> <span class="kwb">SHARD</span>. Roll three D6s: for each 4+, that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
|C’TAN SHARD OF THE VOID DRAGON - VOLTAIC STORM|NEC|Necrons|When this C'tan points one imperious hand, foes reel as the air sings with a monstrous whine. The awful sound builds, then erupts into a sudden and ferocious storm of emerald lightning to annihilate all it touches.|Powers of the C’tan|Select one enemy unit within 18" of and visible to this C'tan Shard (an enemy <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a> unit with a Wounds characteristic of 9 or less cannot be selected for this power while it is within 3" of another enemy unit, unless that <span class="kwb">CHARACTER</span> unit is the closest visible enemy unit). Roll one D6: on a 2+, that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> (it suffers D6 mortal wounds instead if it has the <span class="kwb">VEHICLE</span> keyword) and, until the start of your next turn, if that unit is a <span class="kwb">VEHICLE</span> whose characteristics change as it loses wounds, then it halves the number of wounds it has remaining when determining what characteristics to use.|
1|PREMORPHIC RESONANCE|SM|Space Marines|The psyker peers into the timeless eddies of the warp, seeing future echoes of whatever sinuous, scuttling or bounding movements the enemy will make before imprinting this foreknowledge into the minds of his brothers to guide their aim.|Xenopurge Discipline|<b>Blessing</b>: <i>Premorphic Resonance</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="kwb">DEATHWATCH</span> unit within 18" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>:<br><ul><li>Any <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> attacks made by that unit score hits on rolls of 5+.</li><li>If that unit starts the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a> within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy models, it can fight first that phase.</li><li>Each time a melee attack is made by a model in that unit, add 1 to that attacks <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.</li></ul>|
2|FORTIFIED WITH CONTEMPT|SM|Space Marines|Fanning the fires of the Deathwatchs hatred into an inferno of contempt, the psyker instils a feeling of such vehement disgust in his brothers that they shrug off the direst of injuries in their determination to exact their vigil’s vow.|Xenopurge Discipline|<b>Blessing</b>: <i>Fortified With Contempt</i> has a warp charge value of 6. If manifested, select one friendly <span class="tooltip00480" data-tooltip-content="#tooltip_content00480" data-tooltip-anchor="#tooltip_content00480"><span class="kwb">DEATHWATCH</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip00481" data-tooltip-content="#tooltip_content00481" data-tooltip-anchor="#tooltip_content00481"><span class="kwb">DEATHWATCH</span> <span class="kwb">BIKER</span></span> unit within 18" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, each time a model in that unit would lose a wound, roll one D6: on a 5+, that wound is not lost.|
3|NEURAL VOID|SM|Space Marines|The psyker assails the target with a voidblack darkness upon their minds, woven from psychomantic shadow. Mental cohesion and coordination begin to break down, orders become garbled and impetus blunted.|Xenopurge Discipline|<b>Malediction</b>: <i>Neural Void</i> has a warp charge value of 7. If manifested, select one enemy unit within 18" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>:<br><ul><li>Subtract 1 from the Attacks characteristic of models in that unit.</li><li>Each time a charge is declared for that unit, only the closest unit from your army can be selected as the target of that charge.</li></ul>|
4|PSYCHIC CLEANSE|SM|Space Marines|Before the empyric might of the psyker, teeming throngs of lesser minds are swept aside in a purgation that purifies the unclean.|Xenopurge Discipline|<b>Witchfire</b>: <i>Psychic Cleanse</i> has a warp charge value of 6. If manifested, roll one D6 for each enemy model within 9" of this <span class="kwb">PSYKER</span>: on a 6, that model’s unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
5|MANTLE OF SHADOW|SM|Space Marines|The psyker draws a shadow over his allies, shrouding their presence from enemy senses and assuring the completion of priority missions without detection.|Xenopurge Discipline|<b>Blessing</b>: <i>Mantle of Shadow</i> has a warp charge value of 6. If manifested, select one friendly <span class="tooltip00480" data-tooltip-content="#tooltip_content00480" data-tooltip-anchor="#tooltip_content00480"><span class="kwb">DEATHWATCH</span> <span class="kwb">INFANTRY</span></span> unit within 12" of this Psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, if that unit does not shoot or declare a charge, enemy models cannot target that unit with ranged attacks unless they are within 12" of it or it is the closest eligible unit.|
6|SEVERANCE|SM|Space Marines|The psyker has trained his powerful mind to single out entities from which his foes gain their strength, snipping their influence with his razored thoughts. In an instant, commanding screeches fade to whimpers, inspiring presences falter and communications vomit babbling nonsense.|Xenopurge Discipline|<b>Malediction</b>: <i>Severance</i> has a warp charge value of 7. If manifested, select one enemy <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a> unit within 18" of this <span class="kwb">PSYKER</span>.<br><ul><li>That unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.</li><li>Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, reduce the range of that units <a href="/wh40k9ed/the-rules/core-rules/#Aura-Abilities">aura abilities</a> by 3" (if the result of the <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic test</a> was greater than that Character unit’s Leadership characteristic, then until the start of your next Psychic phase, enemy units cannot benefit from that unit’s aura abilities).</li></ul>|
1|LIVING LIGHTNING|SW|Space Wolves|Sentient electricity crackles amid the brooding skies above as the Rune Priest calls forth the elements to smite his foes. At the psyker’s command, lightning arcs into the ranks of the enemy, leaving a trail of blackened corpses in its wake.|Tempestas Discipline|Living Lightning has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, the closest visible enemy unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. If that unit is destroyed as a result, the closest enemy unit within 18" of the last model from that unit to be removed suffers D3 mortal wounds, and so on until a unit is not destroyed or there is no enemy unit within 18" of the last model in the destroyed unit.|
2|TEMPEST’S WRATH|SW|Space Wolves|The Rune Priest brings the rage of the storm to a roaring crescendo, frost-fingered wind spirits whipping at his enemies, tearing at their eyes and snatching weapons from their hands.|Tempestas Discipline|Tempest’s Wrath has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a visible enemy unit within 24" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, your opponent must subtract 1 from any <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> they make for that unit.|
3|MURDEROUS HURRICANE|SW|Space Wolves|The Rune Priest bellows an ancient curse, and within moments his foes are all but consumed in a hurricane of freezing shards, a thousand blades of psychically formed ice plunging into their flesh.|Tempestas Discipline|Murderous Hurricane has a warp charge value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a visible enemy unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Roll one dice for each model in that unit – the unit suffers a <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> for each roll of 6.|
4|FURY OF THE WOLF SPIRITS|SW|Space Wolves|Invoking the spirits of Freki the Fierce and Geri the Cunning, the Rune Priest sets the charcoal-black phantasms upon the foes.|Tempestas Discipline|Fury of the Wolf Spirits has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, the Rune Priest gains the following weapon until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>:<br><p class="ShowFluff legend2"></p><div style="height:8px"></div><div class="wtOuterFrame"><table class="wTable" width="100%" border="0" cellspacing="0" cellpadding="0"><tbody><tr><td class="wTable_WEAPON" style="max-width: 220px;"><div class="wTable1">WEAPON</div></td><td style="max-width: 60px;"><div class="ct wTable1">RANGE</div></td><td style="max-width: 100px;"><div class="wTable1">TYPE</div></td><td style="max-width: 38px;"><div class="ct wTable1">S</div></td><td style="max-width: 38px;"><div class="ct wTable1">AP</div></td><td style="max-width: 38px;"><div class="ct wTable1"">D</div></td></tr><tbody class=" bkg"><tr class="wTable2_long"><td colspan="6" class="pad2626"><span>Freki and Geri</span></td></tr><tr class=""><td class="wTable2_short pad2626"><span>Freki and Geri</span></td><td><div class="ct pad2626">Melee</div></td><td><div class="pad2626"><span class="tooltip00169" data-tooltip-content="#tooltip_content00169"><span class="tt kwbu">Melee</span></span></div></td><td><div class="ct pad2626">5</div></td><td><div class="ct pad2626">-3</div></td><td><div class="ct pad2626">1</div></td></tr><tr><td colspan="6" style="vertical-align:middle;"><div class="pad2626"><b>Abilities:</b> After the Rune Priest makes his close combat attacks, you can attack with Freki and Geri. Make 6 additional attacks, using this weapon profile.</div></td></tr></tbody></tbody></table></div>|
5|STORM CALLER|SW|Space Wolves|The Rune Priest chants an ancient rite that builds into a terrifying howl. Roaring winds and furious blizzards rage about him in a vortex of ice and snow that obscures him from sight.|Tempestas Discipline|Storm Caller has a warp charge value of 8. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> and any friendly SPACE WOLVES units within 6" of him gain the benefit of being <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">in cover</a>.|
6|JAWS OF THE WORLD WOLF|SW|Space Wolves|The Rune Priest implores the spirit of the world upon which he walks to open its rock-fanged maw, and a chasm cracks open under the feet of his chosen enemy, sending them tumbling to their death below.|Tempestas Discipline|Jaws of the World Wolf has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select an enemy unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>, other than a VEHICLE. Roll 2D6 and subtract the target’s Move characteristic – the target unit suffers a number of <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> equal to the result.|
